date_x,tweets_y
2020-11-04,26000
2020-11-05,140000
2020-11-06,100500
2020-11-07,80000
2020-11-08,49500
2020-11-09,42000
2020-11-10,35000
2020-11-11,27000
2020-11-12,27000
2020-11-13,22000
2020-11-14,35000
2020-11-15,20000
2020-11-16,12500
2020-11-17,12500
2020-11-18,12500
2020-11-19,12500
2020-11-20,14000
2020-11-21,13000
2020-11-22,10000
2020-11-23,10000
2020-11-24,11000
2020-11-25,11500
2020-11-26,12000
2020-11-27,9000
2020-11-28,12000
2020-11-29,10000
2020-11-30,15000
2020-12-01,18000
2020-12-02,20000
2020-12-03,18000
2020-12-04,17500
2020-12-05,15000
2020-12-06,12500
2020-12-07,10500
2020-12-08,10000
2020-12-09,10500
2020-12-10,11000
2020-12-11,9500
2020-12-12,11000
2020-12-13,9000
2020-12-14,13000
2020-12-15,12500
2020-12-16,10000
2020-12-17,12000
2020-12-18,11000
2020-12-19,12000
2020-12-20,11000
2020-12-21,11000
2020-12-22,11500
2020-12-23,10000
2020-12-24,10000
2020-12-25,12000
2020-12-26,5000
2020-12-27,7000
2020-12-28,9000
2020-12-29,10000
2020-12-30,8000
2020-12-31,10000
2021-01-01,14000
2021-01-02,20000
2021-01-03,51000
2021-01-04,25000
2021-01-05,52000
2021-01-06,24000
